,company,review_scores
312,[24]7 Inc.,"it was a good experience working at 27/7 inc under Expedia process. I was trained in voice accent training, speaking skills which improved my confidence and communication with clients and customers.Very good in almost every aspects. Co-workers are always there to help.Senior Management was always helpful.Nice environment and great job culture.If you do not know English well, and you are fresher. Go man, join this company.You will get the world class skills. But, this company is good only to work One year. You must have to switch to other company to grow.Now, office is in maratthalli and office is cool. It will be fun to work there.In [24]7 I had worst experience with all our higher officers...No one is helpful or supportive. Only because of working environment, I worked there for 1 year. The management team is not at all helpful, though we are good in work, in the recession time, we will be kicked out from office. later to get the experience or relieving letters are most difficult job.HR's are irresponsible and rude.It was good company. Learned many things and outperformed. 247 is a multinational company, I worked for USA process under customer services as Interactive Social Media Advisor (Live Chat Dept)This is a place you should be. They make you grow. Went in as a sapling but came out as a fully grown tree. I would recommend this place for all who want a place to work where all are equal no matter you position.It is a good place to work with lot of opportunity to grow and share innovative ideas. I worked there for few months and learnt a lot of things. I got an opportunity to initiate IJP and was appreciated for that.Day will be good in officeLearnt about the software Management was goodMy co-workers are the bestMeeting the targetsHaving fun on the florrNo job is easy but one can make it fun . Attending to customer is always a learning experience for me . Am always looking forward to got to work for this is not just a job for me , it is my craft .best place to get experience as fresher, however less breaks and salaryI joined 24/7 customer pvt ltd as Interactive Social Media Advisor on Oct 14, 2011 for Target email process, since there was a ramp down in the program I was moved to Citi bank (secure messaging) on January 2012. When there was a ramp up in the program my manager took me back for Target email process on September 2012 I worked till February 2014 and resigned my job.The interview process is very good the employees in the company are sorted out without their knowledge.Its a good company but not good for your professional growth. You work hard but salary is like peanuts in front of your hard-work.Each and every thing is outstanding here in [24]7 Inc. excluding salary.Good facility, friendly environment, supportive supervisors.C-Sat topper in Sales for the month of December 2011.Overall Performer for the month of January 2012.Highest C-Sat Achiever for the month of March 2012.Highest C-Sat Achiever for the month of April 2012.Highest C-Sat Achiever for the month of August 2012.Stellar Performer for the month of September 2012.Highest C-Sat Achiever for the month of March 2013.I've been with this company for more than 2 years now.I came in as a Customer Service Representative for T-Mobile UK. I worked under the Lost and Stolen department. This is a special department for offshore since we only handle customers with lost and stolen phone concerns.Working with T-Mobile is fun and a learning experience, I was able to share my skills and knowledge since I am one of the tenured representatives of the account. Handling newbies is very fulfilling for me since I am a frustrated educator/trainer/director. I was able to grow and learned a lot from this job. I was able to test my capabilities and patience in terms of handling different kinds of people and culture since I am dealing with different types of people in terms of my customers and colleagues and clients.This June, our UK account was sent back onshore. Our department was transferred to a different account. We were moved to Yes Optus - our Australian account. We were put under Residential and Small and Medium Business Department.We handled different types of concerns, be it from billing concerns for their landline and internet, basic troubleshooting for internet and complaint handling.Directly responsible for supervising a team of 23 sales executives involved in providing UK Outbound sales for MBNA (Balance Transfers, PPI & Credit cards). The role involved three tier responsibilities i.e. Functional/Operations Management, People management & Training. Conduct Product/Process knowledge/Call Monitoring/Quality Analysis of the team. Performance Evaluations - included responsible for IAP (Improvement Action Plan) and DAP’s (Development Action Plan) for improving the performance of team members below SLA’s.10 hr. shift, learned how to deal with customer. Management had a lack of people skills, coworkers were friendly and helped you out when was needed. Hardest part: work under pressure to sale products. Most enjoyable part: facilities, activities.24/7 Customer gives their employees a work-life balance environment. As they believe that a happy and satisfied employee is a productive employee. They will be able to give better results and meet their daily goals if they do not feel overworked and restricted.As [24]7 is my first job, I have learnt how to help the customers in resolving the queries and we do have fun time at work like games etc. My team leader and my co-workers who are much more tenured than me helps me in giving the exact solving for the work. The most memorable day is when I was re-awarded for the best AST topper across the floor.good management to work for.Time managementFriendly co workersworking on the floor is challengingsalary is always on timemethodical work progress"
220,24M Technologies,"Working for this company is like working in somebody's garage! The facility is a mess, over crowded and filled with JUNK. Every piece of equipment in the lab is purchased used and never fits the needs of the company so it's all half-assed. The office area is over crowed and made of pieces of furniture that were bought used so nothing matches! There is inadequate storage space in the lab as well as the office areas. Additionally they have very poor insurance benefits and very limited number of paid holidays. Not to mention they do not match funds in the 401k plan.Just keep looking you'll be happy you did."
334,A9,"Pay well, smartness is valued to a great level. Can make an impact on some big challenges. People around are nice and cordial. Office has a history and good location. Option to work from home.Good working environment. Smooth cooperation among colleagues. Free snacks and drinks, comfortable desk and chairs. Need a gym and more shower room."
402,Abbott,"My work at Abbott Labs was very much a typical ""corporate America"" experience. Though it was very predictable and gratifying, I missed the opportunity to have more creative outlets.I performed line maintenance support for scheduled and unscheduled maintenance on Bag fabricators, Fill/seal rotary fillers, Bag overwrap machines, Continuous Sterilizer and Packaging equipment. I completed plc program changes for installation on weekends, I completed all necessary paperwork. this included Cad drawings, ECR's, Printouts of electrical drawings, backups of the plc programs. I worked with production management, engineering, and maintenance personnel. The most enjoyable part of my job was the satisfaction that I earned the respect of all the people that I worked withThe project brought together multiple departments to work on resolving an issue created with a system implementation.  Working with these people helped everyone learn about other departmentsHard working people in need of some management change. Style of management in need for a better strategy to succeed. Too many foreigners trying to fit in a complex culture. Talent and expertise overshadowed by outspokenness.Good pay and benefits.  Too many meetings. Good management.  Flexible with life issues. Co-workers were good. Team environment was good. Time off was good.A great company to work for. Being able to go home everyday knowing you are helping a company that save lives is one of the best feelings in the world.the working environment is good with knowledgeable staff and good management. Sometimes employees are asked to do very difficult tasks in an unreasonable amount of time. and there are some employees that are very cliqueish management will get rid of you if they feel you're damaging their percentages so attention to detail is key.The Rocky Mount site, under Abbott Labs, was a great place to work.  Employees were dedicated to providing quality products to meet customer needs.The company itself is good but the management working in our country is very much biased and the compensation given to the employees is well beyond the expected.Great work place and opportunities foe employee skills enhancements. leader in Pharma companies. Work environment is great and flexibility at work place and courteous colleagues.Provided a comfortable work environmentVery productive peers and managementModerate facilitiesOn site work out facilityOn site cafeteriaEnjoyed my time working thereAbbott is a company that inspires people to excel and learn new and improved techniques in daily job performances. Training and procedures is a must for all.I loved tis job. the only issue was the shifts. They were short on people so a lot of workers were working 12 hour shifts multiple days out the week.I enjoyed working for this company. Overall it's generally a good place to work. liked the people that I worked with they liked being there. The number one reason people stay is because of the benefits for the pension plan and insurance.It is a positive environment to work and prosper in. Communication is very vital at Abbott and they do it well. They are very good about working with your personal schedule and lifeIt was really nice working therepeople there are very friendlyI learned a lot while working thereCo-Workers are pretty freindlyI enjoy each and every moment Management is very goodThere was no typical day at workI really enjoyed my time at Abbott Laboratories, which was the catalyst for expanding my engineering ""toolbox"" and learning different aspects of the business.I love my job and I love how Abbott balances family and work life. The management is amazing and makes sure that if you want to learn and grow in your career then opportunities are given.The people are very helpful and knowledgeable.   I would love to work with Abbott again. The facility has a full gym to work out and the cafeteria is open at night.Terrible to move from temp to hired. Worked as a temp for almost a year and there were no opportunities to get hired in. They were cutting jobs when I went elsewhere.I learned to processed and inspect various stents. I was certified with different machinery and tooling. I enjoyed working with people who speak different languages. Embracing diversity is a must in a production line."
355,Abbott Laboratories,"My work at Abbott Labs was very much a typical ""corporate America"" experience. Though it was very predictable and gratifying, I missed the opportunity to have more creative outlets.I performed line maintenance support for scheduled and unscheduled maintenance on Bag fabricators, Fill/seal rotary fillers, Bag overwrap machines, Continuous Sterilizer and Packaging equipment. I completed plc program changes for installation on weekends, I completed all necessary paperwork. this included Cad drawings, ECR's, Printouts of electrical drawings, backups of the plc programs. I worked with production management, engineering, and maintenance personnel. The most enjoyable part of my job was the satisfaction that I earned the respect of all the people that I worked withThe project brought together multiple departments to work on resolving an issue created with a system implementation.  Working with these people helped everyone learn about other departmentsHard working people in need of some management change. Style of management in need for a better strategy to succeed. Too many foreigners trying to fit in a complex culture. Talent and expertise overshadowed by outspokenness.Good pay and benefits.  Too many meetings. Good management.  Flexible with life issues. Co-workers were good. Team environment was good. Time off was good.A great company to work for. Being able to go home everyday knowing you are helping a company that save lives is one of the best feelings in the world.the working environment is good with knowledgeable staff and good management. Sometimes employees are asked to do very difficult tasks in an unreasonable amount of time. and there are some employees that are very cliqueish management will get rid of you if they feel you're damaging their percentages so attention to detail is key.The Rocky Mount site, under Abbott Labs, was a great place to work.  Employees were dedicated to providing quality products to meet customer needs.The company itself is good but the management working in our country is very much biased and the compensation given to the employees is well beyond the expected.Great work place and opportunities foe employee skills enhancements. leader in Pharma companies. Work environment is great and flexibility at work place and courteous colleagues.Provided a comfortable work environmentVery productive peers and managementModerate facilitiesOn site work out facilityOn site cafeteriaEnjoyed my time working thereAbbott is a company that inspires people to excel and learn new and improved techniques in daily job performances. Training and procedures is a must for all.I loved tis job. the only issue was the shifts. They were short on people so a lot of workers were working 12 hour shifts multiple days out the week.I enjoyed working for this company. Overall it's generally a good place to work. liked the people that I worked with they liked being there. The number one reason people stay is because of the benefits for the pension plan and insurance.It is a positive environment to work and prosper in. Communication is very vital at Abbott and they do it well. They are very good about working with your personal schedule and lifeIt was really nice working therepeople there are very friendlyI learned a lot while working thereCo-Workers are pretty freindlyI enjoy each and every moment Management is very goodThere was no typical day at workI really enjoyed my time at Abbott Laboratories, which was the catalyst for expanding my engineering ""toolbox"" and learning different aspects of the business.I love my job and I love how Abbott balances family and work life. The management is amazing and makes sure that if you want to learn and grow in your career then opportunities are given.The people are very helpful and knowledgeable.   I would love to work with Abbott again. The facility has a full gym to work out and the cafeteria is open at night.Terrible to move from temp to hired. Worked as a temp for almost a year and there were no opportunities to get hired in. They were cutting jobs when I went elsewhere.I learned to processed and inspect various stents. I was certified with different machinery and tooling. I enjoyed working with people who speak different languages. Embracing diversity is a must in a production line."
101,"AbbVie, Inc","AbbVie is the best place I have ever worked.  They are on the forefront of addressing some of the most debilitating and devastating diseases.  Their culture is phenomenal and their benefits are great.I had a great time working at AbbVie. For an intern right out of high school I had a lot of freedom which was nice. Could have used a few more structured projects but it was good.Had an amazing experience working with the company, the employees and everyone at the company were very friendly. Very easy going workplace, everyone was available to help.AbbVie values its employees. Provides opportunities to grow and connect.Managements try their best to listen to employees and provide solutions. Projects goals that are inspiring and motivating.I had a great summer interning and combining my science skills with the business behind a pharma company. I had time to work on my own projects, conduct informational interviews, visit/tour different company sites, attend lectures, and network.Excellent company. Computer Operator Skills. Diversified employees and co-workers worked together on various projects. Meetings and luncheons given monthly.The project I was on was short term and didn't give me enough time to get a sense of the culture.  The people I met and worked with were kind and hard working.AbbVie Pharmaceuticals is simply a wonderful place to work. I was a  Change Management Consultant for the Purchasing Dept. I worked under wonderful people and was paid well. Can't say enough good things.Good company but limited growth potential. Not  as innovated as other organizations.Using older sales techniques to sell product.Good marketing department.Promotions are limited if you are in field sales.Still have low numbers of diversity in management positions.The company is great, the work is fun and there is a lot to learn so it is challenging in a good way. Benefits are awesome. But I have a lack of immediate Management.Not interested in providing a review of AbbVie. I have worked here for 3 years as a consultant but do not have enough exposure to the company to offer a thorough review.Many career opportunities. Theres something for everyone. Well managed and great benefits. I would reccomend this company to anyone wanting to expand their breadth of knowledge or wanting to fuether their career.Responsible for undertaking ad-hoc analysis on payments made to healthcare physicians and organizations using Lavastorm Extracted data from an Oracle data warehouse, cleaned and normalized the data for further analysis, performed complex joins and created data sets for further analysisMy day involves constant attention to detail and the ability to work effectively and efficiently with other people.  My tasks are frequently change and require the ability to be flexible and supportive of management directives and initiatives.  The greatest challenge keeping communication open between various groups over a large manufacturing floor.  I enjoy the daily challenges of learning new tasks and growing technically.Great culture and great benefits.  They always emphasize a all for one attitude.  They also promote from within quite a bit even during times of restructuring.growth opportunitiesteam workinteresting processThe indu•	Operating machinesfor esterilizing important parts for biotechnological process such as, autoclaves, CIP systems (Cleaning in Place), Delta V.•	Realized test pH, conductivity, osmolality and integrity of filters. •	Monitor processes through computerized and visual inspection systems and recognize when the process parameters are diverted to alert and take action.•	Take samples on computers at different times of processes, prepare the equipment and laboratory testing as required•	Inspect equipment to verify that they are operating within the parameters set.•	Complete the Mes system steps.stry has interesting processesNew company with old ways. Poor management. No advancement unless you're friends with a manager. Average benefits. VPs in place that have no business in the position and rule like a dictator.This is a great opportunity with a great company.where you will be challenged and developed.  I enjoyed developing  new technical skills.Manufacturing organization that requires the best of any candidate that seeks employment.The work at times requires a seven day work week, this can be a benefit to some and not to others, depending on your life style.Lessons learned  while working here is the importance of product accountability, cGMP, FIFO, JIT and good record keeping.The product IPSWITCH  gives users the ability to share files within the company  and outside the company firewalls usually for 3rd party vendors to update and retrieve documents in a secure area. No limit on file sizes - disk space was always a concern.  A typical day at work would be setting up new users and creating the environment for each dept needs and use. The hardest part of the job was managing resources without clear and defined roles of who would be responsible for outcome deliverables. The most enjoyable part of the job was providing satisfaction and quick turn around time to Customers and as an alternative to the standard MQ messaging environment which was both costly and cumbersome for small business units within the organization.prepare a calls planings with pre-call analissis , looking for opportunities ,call pharmacies , learn more about health care products cover , learn more about physician situation , hard part is complete the 8 calls days , I like this jobs"
796,Accelrys Inc,"Manager is aweful..company is good. Team is goodWorking with Mulitple producesLimited time, work on weekends working is aweful"
113,Accenture Inc,"I have spent 10 and 1/2 years with Accenture and they have given me many SAP Basis skills that I did not possess when I joined them.  They are a hands on company and employ only the most qualified people.  They value work/life balance and live up to that promise.  I always worked for managers that I enjoyed working for and respected which made me only want to do a better job for them. A typical day at work could vary from day to day as I learned quickly that some tasks take priority over others and at a very quick pace. I enjoyed all of my co-workers and worked well with them as a team.  Hardest part of the job was leaving after such a long time.Day-to-day project experience varies with your delivery lead.  Senior leaders try to create an engaging, nurturing culture, but that often comes secondary to delivery leads' efforts to over-deliver.Enjoyed working with the firm. They maintain a certain work environment which caters to the needs of their employees in an appropriate manor.If the management of project is ethical then one can find opportunities for growth. If not, then it can give one a challenging experience. Pay scale is decent.When you work at Accenture, you are moving very quickly but you are also exposed to so many new opportunities. If you like a big company and have an entrepreneurial spirit, you'll really enjoy it.My review of Accenture was that in my dept we were extremely understaffed which in turn cause A LOT of frustration and stress in the environment. In my time being there management was changed 3 times which cautioned a red flag in my mind. The management staff was very rude and non helpful. I even reported them to HR upon my departure due to the fact of the unfairness and treatment I would constantly receive at my time there on several different occasions.A typical work day is would be managing a Scrum team of 7 members. Attending daily standup meetings, grooming sessions, and Review & Retrospective meetings for 2 projects. The team is very productive and work as a well oiled machine. We have a nearshore team and they work with us during our timezone which makes them professional. The most enjoyable part of the job is that there is a lot of team work involved and we knock the requirements off the park during every sprint.I enjoy working for Accenture however it is a world wide company which makes it very difficult to get a quick answer from your supervisor when they work in a completely different state.I have worked at Accenture for 4 yrs and have had a great range of roles which have definitely help improve my over all skills but the salary and bonus are not good.In general, Accenture is a great company to work for.  They offer good benefits, decent compensation and have a strong company culture.  The people that work for Accenture are highly motivated and work well in team environments.  I never have felt threatened that someone was trying to take my job or through me under the bus.At first, the company would look rather really harmless, and full of fun. But when you get into a project, that's when the nightmare starts. You have to work longer hours even when it's not really necessary; and sometimes even work on Saturdays and Sundays just because the manager told you so. One time after a long day at work, I was still only parking my car in my garage (I haven't even turned the engine off yet) when my mobile phone rang and it was my manager calling me asking me to come to work EARLY the following day! at 2AM in the morning! Another gripe I had was even when the workplace is supposed to be full of software developers, for some reason, it's was always so noisy. You have to struggle focusing on your tasks. And since it's a very competitive company, you'll be lucky to find people to help you in case you get stuck in something - especially if it needs their specialty. People are so insecure with their positions that they often see you as a threat when you ask them for help.My time being here has been pretty good for the most part. It's a great company to work for. Great place to grow within the company.Good health and dental. Flexible with vacation time in my experience. Trouble growing in some career alignments, understand where you are in the company and how the group is prioritized.provided opportunity to create and seize business opportunities in formulation and preparation of proposals and ideas for new service offerings. Forged and leveraged positive relationships with key client executives, drove value by maximizing benefits / value for clients and Accenture, and coordinated and directed complex work efforts by planning and coordinating work ensuring achievement of multiple commitments and quality expectations. Restructured work in response to changing client needs, define and / or reinforce standard methods and processes delivering high quality services, as well as, balancing relationship among budget, staffing mix, and project milestones including work-plans and schedules.Excellent People, Environment challenges you to be your best.  Many different opportunities to grow your career.  Many roles require travel Monday through Thursday.Accenture is all about the bottom line.With Accenture there are no such thing as work life balance. The Company is mainly focus on it is bottom line.Only downside I experienced is when you change roles and the next role is clearly more difficult, a promotion and a pay raise should accompany as well.  This did not happen.Working in Accenture I started to understand about to work in a different level of business, was a gret job. I worked with people of many countries, different languages.Working on latest in technology. Great place to develop network, learn and progress if you are interested in consulting. Very open work culture in terms of moving to different areas if needed.Its very good work environment. Work Life Balance and Compensatio, Benefits are very good. Co- workers are really helpfull. And leadership is very friendly. Training are very good.Regular busy day, meetings , team management. I have learnt lots of testing management activities from my day 1. Hardest part of my Job was the project where i worked as test manager where I was responsible for all the testing activities of the project. Interacting with the new people while working with different clients."
532,Acorda Therapeutics,"A very dynamic and unique environment. There are a lot of moving parts. It keeps you on your toes. Very flexible schedule to balance work and personal life.They will scam you out of your money.  Go to the official acorda website to apply for a position. Horrible work environment. Unprofessional. Waste of my time.This was a contract position, but the job culture was uplifting and exciting. The staff was very helpful and always willing to go the extra mile to assist.It was always a full day but fulfillingThe leadership and staff are very dedicated to the pursuit of a cure for spinal cord injury and MSThe most demanding part of the job was trying to meet a deadline for grant funding-plan and coordinate special corporate events -assist senior level management with projects and assignements-research and learn about various pharmaceutical productsNice Environment Overall, Some Management restructuring needs to happen ASAP before excellent talent leaves the company.Fantastic, effortless communication line.Very accommodating, compelled me to be extra productive and double efforts in response to their ‘no problem, let us help you’ nature.To illustrate this, I miscalculated my holiday allowance and booked a ski holiday for a day too long. I was prepared to return earlier, but was given another convenient option.I supported the entire companies needs from a creative standpoint, i reported only to the creative director, She believed in me and gave me a lot of creative freedom and gave me opportunities to learn and grow and present.I became known as the go to guy for being fast reliable and easy to work with.I even produced funny movies.Very busy, dedicated staff. Some disorganization. Nice co-wrokers. Training in new initiatives not provided."
99,Acumen LLC,"I transport individuals with developmental disabilities to a day center where they practice daily living skills such as, preparing simple dishes in a kitchen, following a schedule of daily activities of their interest, community outings, such as; walmart, resturants and museums, and leisure activites such as yoga, dance, movies and special olympics.I enjoyed the children I helped babysit. This a great company that helps those with disabilities afford childcare.Smart & dynamic people, far less than pleasant managements.Pros:Nice people willing to provide help;flexible time; good database & experiencesCons:Bad life balance; inefficient management;serious favoritism; low salaries"
