,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
0,5162.0,"Data Scientist - Artificial Intelligence, Cybersecurity",CyberCoders,3.5,18.0,,,San-Diego,San Diego,CA,2016-11-28T12:00,http://jobview.monster.com/data-scientist-artificial-intelligence-cybersecurity-job-san-diego-ca-us-176752482.aspx?mescoid=1500152001001&jobPosition=1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,5168.0,Project Environmental Engineer/Scientist,KMEA,,5.0,,,San-Diego,National City,CA,2016-11-28T12:00,http://jobview.monster.com/project-environmental-engineer-scientist-job-national-city-ca-us-176780657.aspx?mescoid=1700172001001&jobPosition=2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,5184.0,Data Scientist/Architect,OneRoof Energy,3.8,13.0,"No room for growth unless you know someone or have an in.  It is hard to get management opportunity unless you are in someone elses pocket.good company, great environment. good benefits but poor compensation . Great location. Very fast paced. Every other week there is a meeting to discuss business and direction company is taking, results, etc.Good place to work and grow your career. Business casual fun environment. Good co-workers. And  management. Recommend others to work thereI managed all day-to-day call center operations including lead generation, call campaigns, customer care, sales and engineering. A typical day would consist of me starting the early morning meeting, then executing an outbound dialer campaign for the call center reps.I monitor calls while they are on the phone, and also continue to monitor calls afterwards as well. Upon listening to these calls, I offered my advice on the calls, and set up all reports for metrics going forward.I handled the incentive payout for the day and also made sure the engineering team had a chain of qualified solar leads go through so we we could sell solar systems.Fast moving environment with great employees.  Company is still in start up phase but has great potential.  Enjoyed working with employees to provide excellent HR services including benefits administration and onboarding.  Responsible for automating and updating processes.this was a company that had alot that I could learn and did learn. My skills with excel and Quickbooks increased. The accounting team was seperated based on project and corporate areas, I was the only person involved on both teams due to client promotional payouts.Start early, end late, need more resources.Learned that start ups are risky!Mixed review of management.Staff works hard.Tough not knowing if/who will survive.Best reward is solar is increasing across the U.S.enjoyed working for this wonderful solar companywonderful work place, fantastic opportunity for growth- great corporate culture- awesome managersOne Roof develops a proprietary application that provides an end to end transaction platform for solar financing. One Roof partners with other businesses and leverages their platform and monetizes the use of the application by third parties and contractors.My job was directing IT service delivery at the San Diego headquarters and the Phoenix call center as well as satellite offices and a field force.My coworkers were bright and talented people that were a pleasure to work with.I really enjoyed learning so many new things working at a smaller startup. I'm used to working in larger, enterprise level engagements so this was a chance to really get my hands dirty and wear a lot of different hats.Good place to work with decent compensation - the company is very receptive to new ideas and suggestionsA typical day at work consists of managing leasing agreements from initiation to completion. The majority of the work load also consists of quality assurance, building lasting- relationships with dealers, installers, contractors and homeowners and document processes.A Fun start up with lots of potential. Was instrumental in the payroll conversion to ADPOperates distributed solar energy generation systems for the residential market.",,San-Diego,San Diego,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/7a111e3c-db54-4723-a97d-6a8c4ab15e6b?mescoid=1500152001001&jobPosition=26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,5185.0,Principal Data Scientist,Accenture Inc,4.0,7200.0,,"10,000+",San-Diego,San Diego,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/1e094ce8-e548-4a1f-b8de-54fe783d280c?mescoid=1500152001001&jobPosition=27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,5198.0,Biologist-Fixed Duration Employment,Eli Lilly and Company,4.2,615.0,,"10,000+",San-Diego,San Diego,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/cda2ac17-4843-4fb6-9582-c8b960da4ebb?mescoid=1900240001001&jobPosition=7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,5218.0,Biochemist I - (Job Number: MAN105O8),BD,3.7,34.0,,,San-Diego,San Diego,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/4cc39bdc-3d2b-4ef3-aade-e28900aae464?mescoid=1900241001001&jobPosition=28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,5268.0,"Senior Scientist- Virus Production/Purification, Vaccine Immunotherapeutics",Pfizer,4.2,1900.0,,"10,000+",San-Diego,La Jolla,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/8efdb464-8bfe-4e3f-98a8-1a0006f29403?mescoid=1900267001001&jobPosition=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,5314.0,633231 - Bioinformatics Scientist / Senior Scientist,Leidos,3.8,199.0,,"10,000+",San-Diego,San Diego,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/f6553f74-43a5-49f2-9bdb-3d09d464bfc7?mescoid=1900245001001&jobPosition=20,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,5315.0,"Scientist (Non-PhD)- Virus Production/Purification, Vaccine Immunotherapeutics",Pfizer,4.2,1900.0,,"10,000+",San-Diego,La Jolla,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/a22b9c5d-2a62-40e1-9610-9dc6e0071b30?mescoid=1900267001001&jobPosition=21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,5316.0,In Vitro Display Scientist,Eli Lilly and Company,4.2,615.0,,"10,000+",San-Diego,San Diego,CA,2016-11-28T12:00,http://job-openings.monster.com/monster/23131f59-ddf0-4e6b-894f-9f476d543a1f?mescoid=1900267001001&jobPosition=22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
