,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
232,233.0,Sr. Machine Learning Data Scientist,All-In Analytics,,493.0,,,San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/98fc37a7-f45b-4f5d-923b-b51aa418830d?mescoid=1500152001001&jobPosition=32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
233,234.0,Senior Data Scientist,Chegg,3.4,27.0,,"501 to 1,000",San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/2ee5df48-6efa-4196-a04e-a4d9d80aec2e?mescoid=1500152001001&jobPosition=33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
241,242.0,Sr. Machine Learning Data Scientist,All-In Analytics,,493.0,,,San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/98fc37a7-f45b-4f5d-923b-b51aa418830d?mescoid=1500152001001&jobPosition=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
242,243.0,Senior Data Scientist,Chegg,3.4,27.0,,"501 to 1,000",San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/2ee5df48-6efa-4196-a04e-a4d9d80aec2e?mescoid=1500152001001&jobPosition=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
292,293.0,Sales Scientist,Base CRM,,78.0,,,San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/7bc9b50c-f381-4f72-9802-0dbac372542e?mescoid=4100683001001&jobPosition=23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
312,313.0,Sales Scientist,Base CRM,,78.0,,,San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/7bc9b50c-f381-4f72-9802-0dbac372542e?mescoid=4100683001001&jobPosition=8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,360.0,Scientist (non-PhD): CAR T Cell Biology & Engineering (Multiple Positions),Pfizer,4.2,1900.0,,"10,000+",San-Francisco,South San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/c0832df4-a30f-44ea-9af8-ccfa11c6e56d?mescoid=1900267001001&jobPosition=20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,388.0,Scientist (non-PhD): CAR T Cell Biology & Engineering (Multiple Positions),Pfizer,4.2,1900.0,,"10,000+",San-Francisco,South San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/c0832df4-a30f-44ea-9af8-ccfa11c6e56d?mescoid=1900267001001&jobPosition=13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,472.0,0922 Manager I - Chief Microbiologist,City & County of San Francisco,4.2,18.0,,,San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/b5639ab1-23d1-4bf9-a69a-a6a319acbaab?mescoid=1900242001001&jobPosition=27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,490.0,0922 Manager I - Chief Microbiologist,City & County of San Francisco,4.2,18.0,,,San-Francisco,San Francisco,CA,2016-10-29T12:00,http://job-openings.monster.com/monster/b5639ab1-23d1-4bf9-a69a-a6a319acbaab?mescoid=1900242001001&jobPosition=10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
