,Unnamed: 0,jobTitle,cmpName,cmpRating,cmpReviewsAmount,cmpReviews,cmpEmployees,jobCity,jobRegion,jobState,postDate,job_url,bachelor,bash,c,c++,cassandra,d3,d3.js,excel,flume,h2o,hadoop,hbase,hive,java,javascript,linux,mahout,mapreduce,master,matlab,mongodb,mssql,mysql,nosql,numpy,oozie,oracle,pandas,perl,ph.d,php,pig,postgresql,powerpoint,python,r,rdbms,ruby,saas,sas,scala,scikits.learn,scipy,shark,shell,spark,splunk,spotfire,sps,spss,sql,tableau,zookeeper
14,3067.0,Data Scientist - (ID:1231),"Encore Search Partners, LLC",,,,,Washington,Reston,VA,2016-12-03T12:00,http://job-openings.monster.com/monster/e924502e-5e85-47fb-82b0-8a60268d8636?mescoid=1500152001001&jobPosition=6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,3072.0,Geospatial Analyst,"MCR, LLC",4.4,7.0,"I work as a DoD Contractor for the USAF at Hanscom AFB.  Previously I was a civil servant, CFO.  I assist current CFO in her duties, processes, policies, compliance overall running of organization.Managers are very good to work for and the benefits are very competitive.  The work environment is always comfortable at the company level.I really like MCR but the one thing that really hurts them is the bad medical plans. Management is great and they support you full bore.MCR is an integrated program management company that provides strategic planning, cost and schedule analysis, acquisition management and program assessment solutions for the Missile Defense Agency (MDA) and Army Materiel Command (AMC).A great company, and a great place to work.  Typical contracting issues but otherwise excellent benefits.A motivational, versatile, and resourceful leader capable of providing the right amount of direction, discussion, coaching and feedback to help individuals excel in achieving company goals. An innovative Professional who is forward thinking with excellent communication skills. A resilient, organizational builder and strategic thinker focused on producing maximum outcomes.In the past year I have learned an immense amount of information about the world of contracting/subcontracting.",,Washington,Arlington,VA,2016-12-03T12:00,http://jobview.monster.com/geospatial-analyst-job-arlington-va-us-177072190.aspx?mescoid=1500140001001&jobPosition=7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3094.0,Senior Data Scientist - (ID:1232),"Encore Search Partners, LLC",,,,,Washington,Reston,VA,2016-12-03T12:00,http://job-openings.monster.com/monster/79ac6cc3-f2a8-4922-be27-fca0f9282da9?mescoid=1500152001001&jobPosition=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,3117.0,Data Scientist,Truth Initiative,4.0,1.0,"Truth Initiative is a very fun and easy place to work. It is very very fast pace and can be stressful, but when all is said and done we feel rewarded in the end.",51 to 200,Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/7e60ad61-ab3d-45fd-b4b7-7ec2819323d7?mescoid=1500152001001&jobPosition=4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
182,3235.0,Medical Science Liaison- Mid-Atlantic Region,Endo Pharmaceuticals,3.5,63.0,,"1,001 to 5,000",Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/7c0686b1-afa1-4717-b4bc-d2b93526e7e7?mescoid=1900254001001&jobPosition=17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,3236.0,Social Science Analyst,Department Of Agriculture,4.2,577.0,,"5,001 to 10,000",Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/47b22df0-1162-468a-ae9d-9b66b821a007?mescoid=1900287001001&jobPosition=18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,3246.0,Statistician,Department of Veterans Affairs,4.0,2300.0,,"10,000+",Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/51d4f6ed-03ca-4a25-84f0-7a84909f7c88?mescoid=1500152001001&jobPosition=28,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,3247.0,Student Trainee (Historian),Department Of The Interior,4.1,301.0,,,Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/28168e65-34dc-470d-bbf6-7ea26687a41f?mescoid=1900285001001&jobPosition=29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,3255.0,Statistician,Department of Veterans Affairs,4.0,2300.0,,"10,000+",Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/51d4f6ed-03ca-4a25-84f0-7a84909f7c88?mescoid=1500152001001&jobPosition=2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,3256.0,Student Trainee (Historian),Department Of The Interior,4.1,301.0,,,Washington,Washington,DC,2016-12-03T12:00,http://job-openings.monster.com/monster/28168e65-34dc-470d-bbf6-7ea26687a41f?mescoid=1900285001001&jobPosition=3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
